rule_id,manufacturer,product_line,mil_shell_type,mfg_style_code,mfg_prefix_by_finish_json,description
1,Amphenol,TV Series III aluminum commercial,20,,"{""F"": ""TVPS00RF-"", ""T"": ""TVP00DT-"", ""W"": ""TVP00RW-"", ""Z"": ""TVP00DZ-""}",Wall mount receptacle
1,Amphenol,TV Series III aluminum commercial,24,,"{""F"": ""TVS07RF-"", ""T"": ""TV07DT-"", ""W"": ""TV07RW-"", ""Z"": ""TV07DZ-""}",Jam nut receptacle
1,Amphenol,TV Series III aluminum commercial,26,,"{""F"": ""TVS06RF-"", ""T"": ""TV06DT-"", ""W"": ""TV06RW-"", ""Z"": ""TV06DZ-""}",Straight plug
2,Conesys,Aero-Electric AE3 Series III environmental,20,20,,Series III wall-mount receptacle
2,Conesys,Aero-Electric AE3 Series III environmental,24,24,,Series III jam-nut receptacle
2,Conesys,Aero-Electric AE3 Series III environmental,26,26,,Series III straight plug
3,Conesys,Aero-Electric AE3 Series III hermetic,21,21,,Series III hermetic box-mount receptacle
3,Conesys,Aero-Electric AE3 Series III hermetic,23,23,,Series III hermetic jam-nut receptacle
3,Conesys,Aero-Electric AE3 Series III hermetic,25,25,,Series III hermetic solder-mount receptacle
3,Conesys,Aero-Electric AE3 Series III hermetic,27,27,,Series III hermetic weld-mount receptacle
4,Conesys,Aero-Electric AE4 Series IV hermetic,41,41,,Series IV hermetic box-mount receptacle
4,Conesys,Aero-Electric AE4 Series IV hermetic,43,43,,Series IV hermetic jam-nut receptacle
4,Conesys,Aero-Electric AE4 Series IV hermetic,45,45,,Series IV hermetic solder-mount receptacle
4,Conesys,Aero-Electric AE4 Series IV hermetic,48,48,,Series IV hermetic weld-mount receptacle
5,Eaton,Breech-Lok Series IV general purpose,40,00,,Series IV wall-mount receptacle
5,Eaton,Breech-Lok Series IV general purpose,42,02,,Series IV box-mount receptacle
5,Eaton,Breech-Lok Series IV general purpose,44,07,,Series IV jam-nut receptacle
5,Eaton,Breech-Lok Series IV general purpose,46,G6,,Series IV EMI straight plug
5,Eaton,Breech-Lok Series IV general purpose,47,06,,Series IV non-EMI straight plug
5,Eaton,Breech-Lok Series IV general purpose,49,03,,Series IV in-line receptacle
6,Eaton,Breech-Lok Series IV hermetic,41,H2,,Series IV hermetic box-mount receptacle
6,Eaton,Breech-Lok Series IV hermetic,43,H7,,Series IV hermetic jam-nut receptacle
6,Eaton,Breech-Lok Series IV hermetic,45,H1,,Series IV hermetic solder-mount receptacle
6,Eaton,Breech-Lok Series IV hermetic,48,H4,,Series IV hermetic weld-mount receptacle
7,Glenair,233-105 Series III environmental,20,00,,Series III wall-mount receptacle
7,Glenair,233-105 Series III environmental,24,07,,Series III jam-nut receptacle
7,Glenair,233-105 Series III environmental,26,G6,,Series III straight plug
8,Glenair,233-100 Series III hermetic,21,H2,,Series III hermetic box-mount receptacle
8,Glenair,233-100 Series III hermetic,23,H7,,Series III hermetic jam-nut receptacle
8,Glenair,233-100 Series III hermetic,25,H5,,Series III hermetic solder-mount receptacle
8,Glenair,233-100 Series III hermetic,27,H8,,Series III hermetic weld-mount receptacle
9,Glenair,234-100 Series IV hermetic,41,H2,,Series IV hermetic box-mount receptacle
9,Glenair,234-100 Series IV hermetic,43,H7,,Series IV hermetic jam-nut receptacle
9,Glenair,234-100 Series IV hermetic,45,H5,,Series IV hermetic solder-mount receptacle
9,Glenair,234-100 Series IV hermetic,48,H8,,Series IV hermetic weld-mount receptacle
10,ITT Cannon,KJA Series III aluminum/stainless D38999-style,20,0,,Series III wall-mount receptacle
10,ITT Cannon,KJA Series III aluminum/stainless D38999-style,24,7,,Series III jam-nut receptacle
10,ITT Cannon,KJA Series III aluminum/stainless D38999-style,26,6,,Series III straight plug
11,ITT Cannon,KJB Series III composite D38999-style,20,0,,Series III wall-mount receptacle
11,ITT Cannon,KJB Series III composite D38999-style,26,6,,Series III straight plug
12,Souriau,8D Series III aluminum/composite/stainless,20,0,,Series III wall-mount receptacle
12,Souriau,8D Series III aluminum/composite/stainless,24,7,,Series III jam-nut receptacle
12,Souriau,8D Series III aluminum/composite/stainless,26,5,,Series III straight plug
13,TE Deutsch,DTS Series III aluminum/stainless,20,20,,Series III wall-mount receptacle
13,TE Deutsch,DTS Series III aluminum/stainless,24,24,,Series III jam-nut receptacle
13,TE Deutsch,DTS Series III aluminum/stainless,26,26,,Series III straight plug
13,TE Deutsch,DTS Series III aluminum/stainless,21,20,,Series III hermetic box-mount receptacle
13,TE Deutsch,DTS Series III aluminum/stainless,23,24,,Series III hermetic jam-nut receptacle
13,TE Deutsch,DTS Series III aluminum/stainless,25,21,,Series III hermetic solder-mount receptacle
13,TE Deutsch,DTS Series III aluminum/stainless,27,23,,Series III hermetic weld-mount receptacle
14,TE Deutsch,ACT Series III composite,20,20,,Series III wall-mount receptacle
14,TE Deutsch,ACT Series III composite,24,24,,Series III jam-nut receptacle
14,TE Deutsch,ACT Series III composite,26,26,,Series III straight plug
