rule_id,manufacturer,product_line,mil_class,mfg_finish_code
1,Amphenol,TV Series III aluminum commercial,F,F
1,Amphenol,TV Series III aluminum commercial,T,T
1,Amphenol,TV Series III aluminum commercial,W,W
1,Amphenol,TV Series III aluminum commercial,Z,Z
2,Conesys,Aero-Electric AE3 Series III environmental,F,F
2,Conesys,Aero-Electric AE3 Series III environmental,K,K
2,Conesys,Aero-Electric AE3 Series III environmental,S,S
2,Conesys,Aero-Electric AE3 Series III environmental,T,T
2,Conesys,Aero-Electric AE3 Series III environmental,W,W
2,Conesys,Aero-Electric AE3 Series III environmental,Z,Z
3,Conesys,Aero-Electric AE3 Series III hermetic,N,N
3,Conesys,Aero-Electric AE3 Series III hermetic,Y,Y
4,Conesys,Aero-Electric AE4 Series IV hermetic,N,N
4,Conesys,Aero-Electric AE4 Series IV hermetic,Y,Y
5,Eaton,Breech-Lok Series IV general purpose,C,C
5,Eaton,Breech-Lok Series IV general purpose,F,F
5,Eaton,Breech-Lok Series IV general purpose,G,G
5,Eaton,Breech-Lok Series IV general purpose,K,K
5,Eaton,Breech-Lok Series IV general purpose,S,S
5,Eaton,Breech-Lok Series IV general purpose,T,T
5,Eaton,Breech-Lok Series IV general purpose,W,W
6,Eaton,Breech-Lok Series IV hermetic,N,N
6,Eaton,Breech-Lok Series IV hermetic,Y,Y
7,Glenair,233-105 Series III environmental,F,ME
7,Glenair,233-105 Series III environmental,J,XW
7,Glenair,233-105 Series III environmental,K,Z1
7,Glenair,233-105 Series III environmental,L,ZL
7,Glenair,233-105 Series III environmental,M,XM
7,Glenair,233-105 Series III environmental,S,ZL
7,Glenair,233-105 Series III environmental,T,MT
7,Glenair,233-105 Series III environmental,W,NF
7,Glenair,233-105 Series III environmental,Z,ZN
8,Glenair,233-100 Series III hermetic,N,ZL
8,Glenair,233-100 Series III hermetic,Y,Z1
9,Glenair,234-100 Series IV hermetic,N,ZL
9,Glenair,234-100 Series IV hermetic,Y,Z1
10,ITT Cannon,KJA Series III aluminum/stainless D38999-style,F,F
10,ITT Cannon,KJA Series III aluminum/stainless D38999-style,G,G
10,ITT Cannon,KJA Series III aluminum/stainless D38999-style,W,W
10,ITT Cannon,KJA Series III aluminum/stainless D38999-style,Z,Z
11,ITT Cannon,KJB Series III composite D38999-style,J,J
11,ITT Cannon,KJB Series III composite D38999-style,M,M
12,Souriau,8D Series III aluminum/composite/stainless,F,F
12,Souriau,8D Series III aluminum/composite/stainless,J,J
12,Souriau,8D Series III aluminum/composite/stainless,K,K
12,Souriau,8D Series III aluminum/composite/stainless,M,M
12,Souriau,8D Series III aluminum/composite/stainless,S,S
12,Souriau,8D Series III aluminum/composite/stainless,W,W
12,Souriau,8D Series III aluminum/composite/stainless,Z,Z
13,TE Deutsch,DTS Series III aluminum/stainless,F,F
13,TE Deutsch,DTS Series III aluminum/stainless,G,G
13,TE Deutsch,DTS Series III aluminum/stainless,H,H
13,TE Deutsch,DTS Series III aluminum/stainless,K,K
13,TE Deutsch,DTS Series III aluminum/stainless,L,L
13,TE Deutsch,DTS Series III aluminum/stainless,N,N
13,TE Deutsch,DTS Series III aluminum/stainless,S,S
13,TE Deutsch,DTS Series III aluminum/stainless,T,T
13,TE Deutsch,DTS Series III aluminum/stainless,W,W
13,TE Deutsch,DTS Series III aluminum/stainless,Y,Y
13,TE Deutsch,DTS Series III aluminum/stainless,Z,Z
14,TE Deutsch,ACT Series III composite,J,J
14,TE Deutsch,ACT Series III composite,M,M
