arrangement,source_page,label,x,y,size,type,confidence
9-35,3,5,15.64,8.83,22D,signal,high
9-35,3,1,21.17,8.83,22D,signal,high
9-35,3,6,18.12,13.86,22D,signal,high
9-35,3,2,23.17,16.29,22D,signal,high
9-35,3,4,13.56,16.33,22D,signal,high
9-35,3,3,18.12,19.14,22D,signal,high
9-94,3,B,12.27,13.83,20,signal,high
9-94,3,A,19.04,13.83,20,signal,high
9-98,3,A,19.53,11.56,20,signal,high
9-98,3,C,11.3,11.81,20,signal,high
9-98,3,B,15.91,17.44,20,signal,high
11-2,3,B,11.68,17.15,16,signal,high
11-2,3,A,21.64,17.15,16,signal,high
11-5,3,E,12.84,10.97,20,signal,high
11-5,3,A,21.33,10.97,20,signal,high
11-5,3,D,9.25,19.34,20,signal,high
11-5,3,B,25.03,19.34,20,signal,high
11-5,3,C,17.29,24.08,20,signal,high
11-35,3,1,19.69,8.12,22D,signal,high
11-35,3,10,14.36,11.02,22D,signal,high
11-35,3,2,25.38,11.05,22D,signal,high
11-35,3,9,10.95,14.63,22D,signal,high
11-35,3,11,19.69,14.63,22D,signal,high
11-35,3,3,27.86,14.63,22D,signal,high
11-35,3,8,11.9,19.31,22D,signal,high
11-35,3,13,17.06,19.31,22D,signal,high
11-35,3,12,22.41,19.31,22D,signal,high
11-35,3,4,27.73,19.31,22D,signal,high
11-35,3,5,24.25,22.74,22D,signal,high
11-35,3,7,14.38,22.86,22D,signal,high
11-35,3,6,19.69,24.04,22D,signal,high
11-54,3,D,13.04,11.87,22D,signal,high
11-54,3,A,23.01,11.87,22D,signal,high
11-54,3,C,13.04,21.92,22D,signal,high
11-54,3,B,23.01,21.92,22D,signal,high
11-98,3,A,16.73,10.83,20,signal,high
11-98,3,E,11.25,16.82,20,signal,high
11-98,3,F,16.87,17.04,20,signal,high
11-98,3,B,23.64,17.11,20,signal,high
11-98,3,C,20.04,22.45,20,signal,high
11-98,3,D,14.24,22.49,20,signal,high
11-99,3,F,13.31,11.02,20,signal,high
11-99,3,A,19.74,11.02,20,signal,high
11-99,3,E,10.42,17.28,20,signal,high
11-99,3,G,16.53,17.28,20,signal,high
11-99,3,B,22.38,17.28,20,signal,high
11-99,3,D,14.3,22.38,20,signal,high
11-99,3,C,20.48,22.38,20,signal,high
13-4,3,A,20.07,10.73,16,signal,high
13-4,3,D,10.29,19.53,16,signal,high
13-4,3,B,29.3,19.53,16,signal,high
13-4,3,C,20.07,29.14,16,signal,high
13-8,3,G,15.9,8.9,20,signal,high
13-8,3,A,24.14,8.9,20,signal,high
13-8,3,H,20.02,16.68,20,signal,high
13-8,3,F,9.11,19.74,20,signal,high
13-8,3,B,30.46,19.74,20,signal,high
13-8,3,E,13.61,27.24,20,signal,high
13-8,3,C,26.14,27.24,20,signal,high
13-8,3,D,19.87,30.25,20,signal,high
13-13,3,C,24.54,10.74,12,signal,high
13-13,3,B,14.87,19.49,16,signal,high
13-13,3,A,35.22,19.49,16,signal,high
13-13,3,D,24.54,29.27,12,signal,high
13-35,3,14,15.67,8.26,22D,signal,high
13-35,3,1,23.2,8.44,22D,signal,high
13-35,3,2,27.47,10.6,22D,signal,high
13-35,3,13,11.49,11.04,22D,signal,high
13-35,3,21,15.9,14.17,22D,signal,high
13-35,3,3,30.26,14.38,22D,signal,high
13-35,3,15,24.28,14.54,22D,signal,high
13-35,3,12,8.61,14.9,22D,signal,high
13-35,3,16,26.58,18.8,22D,signal,high
13-35,3,20,13.19,18.81,22D,signal,high
13-35,3,11,7.72,19.9,22D,signal,high
13-35,3,4,31.57,20.0,22D,signal,high
13-35,3,22,19.87,21.51,22D,signal,high
13-35,3,19,14.35,24.17,22D,signal,high
13-35,3,17,25.15,24.3,22D,signal,high
13-35,3,10,8.57,24.71,22D,signal,high
13-35,3,5,30.51,24.96,22D,signal,high
13-35,3,18,19.38,26.94,22D,signal,high
13-35,3,9,11.35,28.65,22D,signal,high
13-35,3,6,27.16,29.63,22D,signal,high
13-35,3,8,15.71,31.55,22D,signal,high
13-35,3,7,21.47,31.87,22D,signal,high
13-98,3,A,20.03,8.96,20,signal,high
13-98,3,H,10.69,11.35,20,signal,high
13-98,3,B,28.79,11.35,20,signal,high
13-98,3,G,7.51,18.03,20,signal,high
13-98,3,C,32.36,18.03,20,signal,high
13-98,3,K,16.79,20.34,20,signal,high
13-98,3,J,23.92,20.34,20,signal,high
13-98,3,F,11.54,27.48,20,signal,high
13-98,3,D,29.08,27.48,20,signal,high
13-98,3,E,20.31,29.74,20,signal,high
15-4,3,D,14.5,15.76,12,signal,high
15-4,3,A,31.23,15.76,12,signal,high
15-4,3,C,14.5,30.37,12,signal,high
15-4,3,B,31.23,30.37,12,signal,high
15-5,3,A,22.75,13.21,16,signal,high
15-5,3,E,12.37,20.15,16,signal,high
15-5,3,B,33.13,20.34,16,signal,high
15-5,3,D,16.05,30.91,16,signal,high
15-5,3,C,28.63,30.91,16,signal,high
15-15,3,L,18.38,9.38,20,signal,high
15-15,3,A,27.25,9.69,20,signal,high
15-15,3,B,34.46,13.29,20,signal,high
15-15,3,K,11.1,13.6,20,signal,high
15-15,3,M,22.8,15.78,20,signal,high
15-15,3,R,16.93,20.46,20,signal,high
15-15,3,N,28.8,20.46,20,signal,high
15-15,3,J,7.88,21.56,20,signal,high
15-15,3,C,37.81,21.56,20,signal,high
15-15,3,P,22.8,27.58,16,signal,high
15-15,3,H,8.97,28.13,20,signal,high
15-15,3,D,36.6,28.13,20,signal,high
15-15,3,G,14.5,34.78,20,signal,high
15-15,3,E,30.76,35.12,20,signal,high
15-15,3,F,22.8,37.56,20,signal,high
15-18,3,L,19.53,9.35,20,signal,high
15-18,3,A,26.14,9.35,20,signal,high
15-18,3,K,12.75,15.81,20,signal,high
15-18,3,M,19.53,15.81,20,signal,high
15-18,3,N,26.14,15.81,20,signal,high
